response,v,a,d
ｸﾞﾜｯ!ｸﾞﾜｯ!,0.8,0.7,0.3
ｸﾜｯｸﾜｯ!♪,0.7,0.5,0.2
ｶﾞｰｶﾞｰ!,0.6,0.6,0.2
ｸﾜ~♪,0.7,0.2,0.1
ﾍﾟﾀﾍﾟﾀ…,0.4,0.4,0.0
ｸﾞﾜｧ…,-0.7,-0.5,-0.3
ｸﾞｸﾞｸﾞ…,-0.5,0.7,0.4
ｶﾞｰ…,-0.8,-0.7,-0.5
ﾍﾟﾀ…ﾍﾟﾀ…,-0.6,-0.6,-0.4
ｸﾞﾜｰ?,0.1,0.2,-0.2
ｸﾜｯ,0.0,0.0,0.0
ｶﾞｰ,0.0,-0.2,0.0
ﾍﾟﾀﾍﾟﾀ,0.0,0.1,0.0
ｸﾞﾜｯ!,0.2,0.8,-0.1
ｸﾞｰ､ｸﾞｰ,-0.2,-0.8,-0.6
ｸﾜｯ?ｸﾜｯ?,0.3,0.5,-0.1
ﾊﾟｼｬﾊﾟｼｬ!ｸﾞﾜｯ!,0.8,0.8,0.4
ｸｩｰﾝ…,-0.8,-0.6,-0.7
ｸﾞﾜｯ!,0.6,0.5,0.7
ｸｪｯ!ｸｪｯ!,0.2,0.7,-0.4
ﾌﾟｶﾌﾟｶ,0.2,-0.3,-0.1
ｸﾞｯ!ｸﾞｯ!,0.4,0.6,0.5
ｷﾞｬｯ!,0.3,0.8,-0.2
ｸﾜｰ…,-0.6,-0.4,-0.5
ｹﾛｯｹﾛｯ,0.7,0.4,0.3
ﾂﾝﾂﾝ,0.1,0.3,0.2
ﾊﾞｼｬﾊﾞｼｬ!,0.8,0.7,0.6
ｽｰ…,-0.4,-0.8,-0.7
ﾐｯ,0.0,0.1,0.0
ｼﾞｰ…,-0.2,0.5,0.3
ｺﾞﾎﾞｺﾞﾎﾞ,-0.3,0.2,-0.4
ｷｭﾙﾙﾙ♪,0.6,0.5,0.2
ｸﾞﾙﾙ…,-0.4,0.6,0.5
ﾋﾟﾖﾋﾟﾖ,0.5,0.3,0.1
ｻﾞﾊﾞｧ!,0.4,0.7,0.5
ﾁｭﾋﾟ,0.3,0.1,0.0
…, -0.1,-0.9,-0.2
ｹﾞｯ!,-0.5,0.6,-0.3
ｸﾁｬｸﾁｬ,0.1,-0.2,0.0
ﾌﾝｯ,-0.2,0.5,0.4
ﾌﾞｸﾌﾞｸ,-0.2,-0.3,-0.1
ﾊﾟﾀﾊﾟﾀ,0.7,0.5,0.4
ｷｨｰ!,0.6,0.8,0.2
ｸﾞｯ…,-0.4,0.5,0.3
ｶｯ,0.1,0.7,0.1
ｸﾙｯ,0.2,0.2,0.1
ﾎﾟﾁｬ,0.1,0.0,0.0
ﾕﾗﾕﾗ,-0.3,-0.5,-0.2
ｷﾞｮｴｰ!,0.7,0.8,-0.4
ﾝｰ,-0.2,-0.4,-0.1
ﾌﾜﾌﾜ,0.2,-0.4,-0.3
ｷﾞｬｰｷﾞｬｰ,0.5,0.8,-0.3
ｸﾞﾜｯｸﾞﾜｯ,0.6,0.6,0.4
ｽｲｽｲ~♪,0.8,0.2,0.1
ﾋﾟﾁｬﾋﾟﾁｬ,0.1,-0.1,0.0
ｸﾞﾜｧｧｧ…,-0.8,-0.6,-0.5
ｶﾞｯ!ｶﾞｯ!,0.2,0.7,0.6
ｸｩ?,0.1,0.2,-0.1
ｻｯ,0.3,0.4,0.2
ｼﾞｯ…,-0.3,0.4,0.2
ﾌﾟｲｯ,-0.2,0.3,-0.2
ｺｹｺｯｺｰ,0.8,0.8,0.5
ｸﾞﾋﾞｸﾞﾋﾞ,0.1,-0.1,0.0
ｶﾞｻｺﾞｿ,0.1,0.4,0.1
ｷｮﾛｷｮﾛ,0.2,0.3,0.1
ｸﾞｯﾀﾘ…,-0.8,-0.8,-0.7
ｼｭﾊﾞｯ,0.4,0.7,0.3
ﾎﾟﾜ~ﾝ,0.3,-0.5,-0.2
ｶﾁｶﾁ,0.0,0.2,0.1
ﾑｸﾞﾑｸﾞ,-0.1,-0.2,0.0
ｺﾞｸﾘ,-0.1,-0.2,-0.1
ﾊﾞｻｧ,0.3,0.6,0.4
ｷｯ,0.2,0.7,0.3
ｸﾞｩ…,-0.6,-0.5,-0.4
ﾁｭﾙﾁｭﾙ,0.4,0.1,0.0
ｶﾞﾌﾞｯ,0.2,0.6,0.5
ﾌｩ…,-0.4,-0.6,-0.3
ﾋﾟｯ!,0.3,0.5,0.1
ﾓｿﾞﾓｿﾞ,0.0,0.1,0.0
ｸﾞﾜｰｯ!,0.8,0.8,0.7
ﾌﾟﾙﾌﾟﾙ,-0.3,-0.4,-0.2
ｶﾞﾁｬｶﾞﾁｬ,0.1,0.3,0.2
ｷﾗｷﾗ,0.7,0.2,0.1
ｸﾞｼｬｯ,-0.5,0.6,-0.4
ﾄﾞｷﾄﾞｷ,0.4,0.6,0.3
ｳﾄｳﾄ,-0.2,-0.7,-0.5
ｼｰﾝ…,-0.5,-0.8,-0.3
ﾜｯ!,0.6,0.8,0.4
ｺﾞﾛｺﾞﾛ,-0.1,-0.3,0.0
ﾍﾗﾍﾗ,0.3,-0.2,0.2
ｸｽｸｽ,0.4,0.1,0.0
ﾆﾔﾆﾔ,0.4,-0.1,0.3
ｶﾞｸｶﾞｸ,-0.6,0.5,-0.5
ﾌﾞﾙﾌﾞﾙ,-0.4,0.3,-0.3
ｷﾞﾛｯ,-0.2,0.7,0.4
ｸﾝｸﾝ,0.2,0.1,0.0
ﾍﾟﾛﾘ,0.3,-0.1,0.1
ｼﾞｭﾙﾘ,-0.1,-0.2,0.2
ﾑﾑｯ,-0.3,0.6,0.4
ｶｧｰ,0.1,0.5,-0.2
ﾋｨｨ,-0.5,0.7,-0.4
ﾎｰﾎｰ,-0.1,-0.5,-0.1
